X,Y,OBJECTID,ID,STATION,STATIONURL,STA_ID,SYSTEM,SYS_AGENCY,NTDID,LATITUDE,LONGITUDE,UA,UACODE,STATUS,SOURCE,SOURCEDATE,GRD_ELEV,ADDRESS,CITY,STATE,ZIP,STATIONSYS
-13164503.3226,4035342.5064,23,9154023,7th Street / Metro Center Station - Metro Red & Purple,https://www.metro.net/riding/paid_parking/expo-line/,80211,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.048695416,-118.258745425,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90017,7th Street / Metro Center Station - LACMTA
-13166417.3209,4036440.8652,24,9154024,Westlake / MacArthur Park Station,https://www.metro.net/riding/paid_parking/red-line/,80210,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0568702150001,-118.275939165,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90057,Westlake / MacArthur Park Station - LACMTA
-13168025.5353,4037245.3115,25,9154025,Wilshire / Vermont Station,https://www.metro.net/riding/paid_parking/red-line/,80209,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0628570000001,-118.290386,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90005,Wilshire / Vermont Station - LACMTA
-13169204.7691,4037097.1392,26,9154026,Wilshire / Normandie Station,https://www.metro.net/riding/paid_parking/purple-line/,80215,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0617543160001,-118.300979238,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90010,Wilshire / Normandie Station - LACMTA
-13170085.4821,4037088.1637,27,9154027,Wilshire / Western Station,https://www.metro.net/riding/paid_parking/purple-line/,80216,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0616875210001,-118.308890817,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90010,Wilshire / Western Station - LACMTA
-13168170.6959,4039082.7703,28,9154028,Vermont / Beverly Station,https://www.metro.net/riding/paid_parking/red-line/,80208,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.07653,-118.29169,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90004,Vermont / Beverly Station - LACMTA
-13168175.3898,4040953.9814,29,9154029,Vermont / Santa Monica Station,https://www.metro.net/riding/paid_parking/red-line/,80207,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.090451892,-118.291732166,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90029,Vermont / Santa Monica Station - LACMTA
-13168178.1543,4041992.7652,30,9154030,Vermont / Sunset Station,https://www.metro.net/riding/paid_parking/red-line/,80206,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0981795000001,-118.291757,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90027,Vermont / Sunset Station - LACMTA
-13170083.1739,4042470.6312,31,9154031,Hollywood / Western Station,https://www.metro.net/riding/paid_parking/red-line/,80205,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1017341530001,-118.308870082,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90027,Hollywood / Western Station - LACMTA
-13171956.0723,4042456.1551,32,9154032,Hollywood / Vine Station,https://www.metro.net/riding/paid_parking/red-line/,80204,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1016264730001,-118.325694615,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90028,Hollywood / Vine Station - LACMTA
-13173474.2998,4042445.0211,33,9154033,Hollywood / Highland Station,https://www.metro.net/riding/paid_parking/red-line/,80203,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1015436530001,-118.339333085,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90028,Hollywood / Highland Station - LACMTA
-13176041.2508,4047501.2676,34,9154034,Universal / Studio City Station,https://www.metro.net/riding/paid_parking/red-line/,80202,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1391459650001,-118.362392398,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,91604,Universal / Studio City Station - LACMTA
-13177672.0181,4051502.6869,35,9154035,North Hollywood Station,https://www.metro.net/riding/paid_parking/red-line/,80201,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1688918790001,-118.37704183,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,91601,North Hollywood Station - LACMTA
-13147357.2907,4017264.1888,36,9154036,Norwalk Station,https://www.metro.net/riding/paid_parking/green-line/,80314,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.91403,-118.10472,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,NORWALK,CA,90650,Norwalk Station - LACMTA
-13151351.434,4017135.4152,37,9154037,Lakewood Blvd Station,https://www.metro.net/riding/paid_parking/green-line/,80313,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9130700000001,-118.1406,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,DOWNEY,CA,90242,Lakewood Blvd Station - LACMTA
-13159071.4407,4018719.7,38,9154038,Long Beach Blvd Station,https://www.metro.net/riding/paid_parking/green-line/,80312,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.92488,-118.20995,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LYNWOOD,CA,90262,Long Beach Blvd Station - LACMTA
-13162219.5313,4019174.3241,39,9154039,Willowbrook - Rosa Parks Station - Metro Green Line,https://www.metro.net/riding/paid_parking/green-line/,80311,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9282686780001,-118.238229779,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,WILLOWBROOK,CA,90059,Willowbrook - Rosa Parks Station - Metro Green Line - LACMTA
-13165219.0596,4019066.3671,40,9154040,Avalon Station,https://www.metro.net/riding/paid_parking/green-line/,80310,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.927464,-118.265175,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90061,Avalon Station - LACMTA
-13167016.52,4019233.8969,41,9154041,Harbor Freeway Station,https://www.metro.net/riding/paid_parking/green-line/,80309,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.928712712,-118.281321862,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90061,Harbor Freeway Station - LACMTA
-13168179.9865,4019229.9803,42,9154042,Vermont / Athens Station,https://www.metro.net/riding/paid_parking/green-line/,80308,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9286835190001,-118.291773459,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,WEST ATHENS,CA,90044,Vermont / Athens Station - LACMTA
-13172045.94,4018762.5577,43,9154043,Crenshaw Station,https://www.metro.net/riding/paid_parking/green-line/,80307,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9251994580001,-118.32650191,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,HAWTHORNE,CA,90250,Crenshaw Station - LACMTA
-13174851.7771,4019866.3232,44,9154044,Hawthorne / Lennox Station,https://www.metro.net/riding/paid_parking/green-line/,80306,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9334264440001,-118.351707174,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,HAWTHORNE,CA,90304,Hawthorne / Lennox Station - LACMTA
-13177693.1868,4019355.7513,45,9154045,Aviation / LAX Station,https://www.metro.net/riding/paid_parking/green-line/,80305,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.929620963,-118.377231991,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90045,Aviation / LAX Station - LACMTA
-13178844.0087,4018494.3184,46,9154046,Mariposa Station,https://www.metro.net/riding/paid_parking/green-line/,80304,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9232000000001,-118.38757,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,EL SEGUNDO,CA,90245,Mariposa Station - LACMTA
-13178746.4633,4017553.6481,47,9154047,El Segundo Station,https://www.metro.net/riding/paid_parking/green-line/,80303,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9161878630001,-118.386693735,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,EL SEGUNDO,CA,90245,El Segundo Station - LACMTA
-13178342.3378,4016087.8454,48,9154048,Douglas Station,https://www.metro.net/riding/paid_parking/green-line/,80302,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.9052600260001,-118.383063414,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,EL SEGUNDO,CA,90245,Douglas Station - LACMTA
-13176799.0696,4014663.5108,49,9154049,Redondo Beach Station,https://www.metro.net/riding/paid_parking/green-line/,80301,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,33.89464,-118.3692,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,HAWTHORNE,CA,90278,Redondo Beach Station - LACMTA
-13161711.2978,4036274.0186,50,9154050,Union Station - Metro Red & Purple Lines,https://www.metro.net/riding/paid_parking/red-line/,80214,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.05562847,-118.23366424,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,BELOW,NOT AVAILABLE,LOS ANGELES,CA,90012,Union Station - Metro Red & Purple Lines - LACMTA
-13161953.5023,4037380.0905,51,9154051,Chinatown Station,https://www.metro.net/riding/paid_parking/gold-line/,80410,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.06386,-118.23584,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90012,Chinatown Station - LACMTA
-13160221.3227,4039690.7779,52,9154052,Lincoln Heights / Cypress Park Station,https://www.metro.net/riding/paid_parking/gold-line/,80411,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.0810538540001,-118.220279566,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,ELEVATED,NOT AVAILABLE,LOS ANGELES,CA,90031,Lincoln Heights / Cypress Park Station - LACMTA
-13159434.3422,4040520.9066,53,9154053,Heritage Square / Arroyo Station,https://www.metro.net/riding/paid_parking/gold-line/,80412,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.08723,-118.21321,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90065,Heritage Square / Arroyo Station - LACMTA
-13158683.3732,4042023.0334,54,9154054,Southwest Museum Station,https://www.metro.net/riding/paid_parking/gold-line/,80413,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.098404658,-118.20646393,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,LOS ANGELES,CA,90065,Southwest Museum Station - LACMTA
-13157141.1607,4043740.5715,55,9154055,Highland Park Station,https://www.metro.net/riding/paid_parking/gold-line/,80414,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.11118,-118.19261,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,203 N AVE 58,LOS ANGELES,CA,90042,Highland Park Station - LACMTA
-13153267.1711,4044287.801,56,9154056,South Pasadena Station,https://www.metro.net/riding/paid_parking/gold-line/,80415,LACMTA,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY DBA: METRO,9154,34.1152499820001,-118.157809359,"LOS ANGELES-LONG BEACH-ANAHEIM, CA",2,OPEN,http://developer.metro.net/introduction/gtfs-data/,2015/11/16 00:00:00,GROUND,NOT AVAILABLE,SOUTH PASADENA,CA,91030,South Pasadena Station - LACMTA
